2022-06-22 02:51:14.951 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 02:52:15.456 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 02:52:47.543 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 02:54:23.597 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 02:55:15.463 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 02:56:38.851 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 02:58:30.118 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 02:59:33.830 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:01:17.209 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:02:06.864 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:02:46.346 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:03:43.187 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:06:28.035 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:06:39.952 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:06:46.172 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:10:54.758 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:12:37.983 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:13:47.366 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:14:16.139 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:15:41.059 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:29:53.720 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:29:55.348 | ERROR    | __main__:check_old_data:138 - float() argument must be a string or a real number, not 'DataFrame'
2022-06-22 03:30:16.554 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:30:54.296 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:31:36.537 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:34:40.383 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:34:55.522 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:35:51.188 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:36:12.117 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:36:52.756 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:38:01.640 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:38:32.835 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:38:45.863 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:39:17.384 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:42:01.897 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:42:43.763 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:44:40.386 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:46:59.661 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:48:22.312 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:49:07.792 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:49:52.920 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:50:54.571 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:51:48.855 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:53:09.723 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:54:16.736 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:55:22.007 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:56:35.360 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:56:58.135 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:57:58.065 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:58:14.408 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:58:42.588 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:59:02.785 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 03:59:57.440 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 04:03:25.832 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 04:03:33.409 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 04:28:27.574 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 04:28:42.473 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 04:28:58.567 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 04:29:41.201 | DEBUG    | __main__:<module>:18 - Start script
2022-06-22 04:31:53.591 | DEBUG    | __main__:<module>:18 - Start script
